town_code,town,lat,long,district,district_lat,district_long,region,regional_city,region_lat,region_long,population_density,area,population,distance_town_district,drive_town_district,distance_town_region,drive_town_region
557277,Kynceľová,48.7514815,19.18309828,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,318.1,"1,167,859",372,4.9,8,3.9,7
508748,Ľubietová,48.7483155,19.3582564,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,20.23,"61,037,321",1235,20.5,24,19.7,23
508756,Lučatín,48.781684,19.32134713,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,61.34,"10,882,786",668,17.1,19,16.3,18
580244,Malachov,48.71218555,19.08458602,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,177.21,"6,266,455",1111,7.8,17,7,15
508764,Medzibrod,48.7933995,19.3571083,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,81.14,"17,076,006",1386,18.6,21,17.8,20
508781,Môlča,48.7102354,19.23399212,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,40.35,"9,393,346",379,10.3,17,9.4,14
508799,Moštenica,48.8069479,19.2929165,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,17.84,"13,422,157",240,18,24,17.2,23
508802,Motyčky,48.8603695,19.1705265,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,8.18,"13,081,860",107,20.5,23,21.5,26
557285,Nemce,48.7763399,19.16654772,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,284.22,"4,102,422",1166,6.3,11,7.6,13
508837,Oravce,48.6902458,19.26001497,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,37.91,"4,722,185",179,18.6,27,17.7,24
508861,Podkonice,48.7990189,19.2552296,Banská Bystrica,48.73709685,19.14672413,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,32.15,"28,477,955",916,16.3,21,15.5,20
